#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"#太原师范学院#性格决定这一次，被暴力者注定失败，错过了最好时机，热度已经快没了，还没拿出态度，还在摇摆，恰好，这就是对方最想看到的，等没有人在关注，可以随意拿捏你@王芝芝会有狗的 毕竟当初愿意支持你的都是路人，没有路人会为自己都不作为的人当助力，只有自己努力才行，不然别反倒让愿意 ?  展开全文,#太原师范学院#性格决定这一次，被暴力者注定失败，错过了最好时机，热度已经快没了，还没拿出态度，还在摇摆，恰好，这就是对方最想看到的，等没有人在关注，可以随意拿捏你@王芝芝会有狗的 毕竟当初愿意支持你的都是路人，没有路人会为自己都不作为的人当助力，只有自己努力才行，不然别反倒让愿意帮助你，关注你的人显得自己吃饱了没事干，别人真的没事干吗？是因为你求助了，当决定反抗校园暴力的时候，就应该坚定到底，不然就自己认倒霉。 收起全文"
"//@珊子味的勋骑鹿:??????只希望学校能有个公开公正的处理方法，给施暴者应有的惩罚#正义网友与太原师范王芝芝通话录音# #不要报考太原师范学院# #太原师范校园暴力# 校园暴力带给一个孩子的伤害有多么大,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事 ?  展开全文,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事件的，先要求被霸凌学生删除微博未果，接着限制被霸凌学生的人身自由，没收学生手机，登陆学生微博账号删除爆料微博，再发两条“改口微博”，公然欺骗全社会！等明天王芝芝父母到校，肯定是软硬兼施，最后大事化小，小事化了……  @韩东言 @苏渝 @学生来吐槽 @哔哩剧小综 @纸上速评 @Mr孙宁 @扒圈新闻 @遇见吴杰臻 @野比大雄 全然不同的微博视频 收起全文"
"#太师校园暴力# #不要报考太原师范学院#,#太原师范回应 未发生暴力行为#已被同学证实存在施暴者，受害者，不是打打闹闹吗？@太原师范学院-  #不要报考太原师范学院# 已被证实存在施暴者受害者，施暴者施暴者施暴者同学文笔不错啊，文学院的吧（当然肯定有好的同学）知道把锅甩给网络暴力，真是研究不少时间了吧，建议你们先告 ?  展开全文,#太原师范回应 未发生暴力行为#已被同学证实存在施暴者，受害者，不是打打闹闹吗？@太原师范学院-  #不要报考太原师范学院# 已被证实存在施暴者受害者，施暴者施暴者施暴者同学文笔不错啊，文学院的吧（当然肯定有好的同学）知道把锅甩给网络暴力，真是研究不少时间了吧，建议你们先告@中国警方在线 @人民日报 他们居然带头 发你们学校带节奏!我都看不下去了!哦⊙?⊙！往地域黑上引的也有而网友，只是在小打小闹，你想要发声明嘛？图源大家查清楚很必要，你们这样遮遮掩掩谁敢相信你的，快公开查清楚啊，你的清白不保了。为您担忧@太原师范学院- 收起全文"
#新浪看点# 2019山西首届萌童运动会在太原师范学院隆重举行2019山西首届萌童运动会在太原师范学院隆重举行 ?
"#太原师范学院回应 未发生暴力行为# #不要报考太原师范学院# #太师校园暴力#,关于网友芝芝被校园暴力的这则消息，我想说一说我的观点。从网友芝芝发文上热搜，到学校采取冷处理，希望发声的两名同学回到学校解决问题，疑似施暴者恶意挑衅，再到芝芝的朋友赶到学校发布声明。我一直坚信，如果说没有网友坚持不懈的推波助澜，持续的为话题送上热度，这篇让我们等待许久的声明，并 ?  展开全文,关于网友芝芝被校园暴力的这则消息，我想说一说我的观点。从网友芝芝发文上热搜，到学校采取冷处理，希望发声的两名同学回到学校解决问题，疑似施暴者恶意挑衅，再到芝芝的朋友赶到学校发布声明。我一直坚信，如果说没有网友坚持不懈的推波助澜，持续的为话题送上热度，这篇让我们等待许久的声明，并不会出现在网络上。而在我的主观意识当中，我其实对这则事件中的声明内容的真实性表示怀疑。以下仅提出我个人想到的疑点，如果说最后证明了学校的声明里面的内容属实的话，那么我提前道歉。① 关于芝芝在微博上发布的群聊配图问题，校方声明中表示李同学仅仅是将一些照片发送到了宿舍群里的问题，我认为两者之间存在一定的冲突，因为在一个简单的宿舍群里，尤其是八人寝的关系相处的较好情况下，我并不认为在群聊当中的备注会是本人的姓名籍贯和专业，这样的备注更像是在年级甚至学校的大群中的备注。截图中某位同学所提到的饱眼福，我并不认为这是一名女生会说出来的话，从我的个人倾向来说，我更认为这是一名男生，如果事实如此，那么请问为什么女生宿舍群里会出现男生？当然，如果学校拿出充分证据的话，当我没说。②关于芝芝同学的手机被没收，家长与同学都无法联系到他的情况，关于芝芝微博小尾巴屡次变更，微博是否是芝芝自愿发布，学校有没有进行单方面施压的问题，请学校做出合理解释。③关于李同学挑衅微博一事，虽然我们怀疑是营销号在作祟，学校的声明中并没有提及这点，是否可以让我们自动理解为微博就是李同学本人编辑并发布的呢？希望校方对此做出合理解释。④关于太原师范学院当中有学生因报警被记大过处分情况，是否属实。警方最终有没有因为该名同学的报警到达现场解决问题。如果属实，那么该名同学的处分是否可以撤销？如果不可以，请学校向公众解释这名同学的报警行为有何不妥，让学校给出了计大过如此严重的处分。⑥ 关于李同学等人的不当行为问题，声明中并没有提到学校选择如何处置。学校是否通过一整天的了解情况，了解到了芝芝同学的重度抑郁是否与李同学等人有关？如果有直接或间接关系，那么李同学等人是否需要承担相应的法律责任？李同学与赵同学同为学校干部，此事件之后，两位同学是否作出撤职记过等一系列校内处罚，一名因为正义而报警的同学受到记大过的处分，而始做俑者却没有任何处罚，令人疑惑不解。⑦关于此事件的后续处理问题，此事件受到了网友的广泛关注和探讨，一度冲上热搜第一，而现在被人为的把热搜撤了，难道贵校就是这么处理问题的？下方视频有众多疑点！贵校就想这样搪塞过去？？？施暴者自始至终没有出来公开道歉，难道贵校就是这么袒护她？里面有什么隐情？@太原师范学院- #太原师范学院##不要报考太原师范学院# 元芳八卦的微博视频 收起全文"
湘瑶cp#瑶湘呼应##欺凌未成年人获刑1年半##正义网友与太原师范王芝芝通话录音##芝芝不妥协##太原师范学院##RNG首发# 签到，顶起来 ?
"#不要报考太原师范学院#,#太师校园暴力##太原师范回应 未发生暴力行为##不要报考太原师范学院#上联： 六月高考不努力 太原师范欢迎您下联：校园暴力一条龙 每天都有新期待横批：恭喜太原师范19年招生工作提前结束 ?"
"//@普通英俊杨文理: @裴屠最不喜被人盗号 / //@欣歆然V5 :最近全省在搞二青会，这个学校要从学院变大学，所以目前该学校以及整个省教育系统以“大局为重”，解决掉了提出问题的人//@春水无觞 :学为人师，行为世范，太原师大不配//@秦桑槡颡 :#李梓瑶#???#太原师范学院#???这个学院等着凉,#李梓瑶#这事真气人 ?"
#高考# 亲爱的学弟学妹们，高考要加油，祝你们考出好成绩，太原师范学院这个学校我觉得超级厉害哦，如果你欺负别人，别怕，有学校为你撑腰，如果你被别人欺负了，那就不那么幸运了 ?
"反对校园暴力#太原师范回应 未发生暴力行为# #不要报考太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"我可去你??的玩笑吧，没带钥匙被锁外面还怪得了别人。就因为姓潘所以取外号叫潘金莲，那你说你姓秦别人叫你秦桧你气不气。女孩子穿裙子扯裙子还拍视频，这明显就是校园暴力，单纯的扯裙子还能说是玩笑，更过分的还是上传到多人聊天里，这已经是侵犯隐私了。麻烦声明走点心。正常点吧@太原师范学院-,分享图片 晋中·太原师范学院 ?"
#太原师范学院# 我真的无语父母能不能硬气一点 我真想骂人了 我去我的天 竟然说不想毁了李梓瑶一生这种话你女儿都快要被她毁了一生好嘛我都怀疑 芝芝是不是亲生的了 ?
"//@残念Shadow_咸鱼狼姆://@-妖痕-://@一条青瓜瓜瓜瓜瓜:我想知道还有人在关注于这件事吗！！！//@-王先生的三岁半:#太原师范学院# #李梓瑶#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"//@孑杰ii:为什么会有五四运动有压迫就会有反抗，士可忍孰不可忍。希望芝芝能拿起法律的武器去一捅到底。这个现象并不只是太师而是大部分学校普遍存在的现象。只是这种渣没有出现在自己的身边。也希望高层能引起重视望珍重。#紫光阁# #人民日报# #太原师范学院申明是假的# #不要报考太原师范学院#,#太原师范回应 未发生暴力行为#【嬉戏打闹刚刚当事人朋友发b力证官v说谎 隐瞒！！！】26日晚23点，李梓瑶电话联系两名男同学进行调和，潘，龙两位同学未接受，27日凌晨，小龙同学发的微博，李梓瑶所谓的调和是让潘，龙两人去向李梓瑶道歉，期间李梓瑶还曾辱骂过小龙同学的母亲。【#太原师范学院 ?  展开全文,#太原师范回应 未发生暴力行为#【嬉戏打闹刚刚当事人朋友发b力证官v说谎 隐瞒！！！】26日晚23点，李梓瑶电话联系两名男同学进行调和，潘，龙两位同学未接受，27日凌晨，小龙同学发的微博，李梓瑶所谓的调和是让潘，龙两人去向李梓瑶道歉，期间李梓瑶还曾辱骂过小龙同学的母亲。【#太原师范学院# 还在替施暴者袒护、隐瞒，这么大舆论没有一个好的态度，还在和稀泥 啥时候学校与施暴者公开道歉？？？ 收起全文"
#太原师范学院#这件事的不管是哪一方的处理都让我很失望?? ?
